Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Bungo Stray Dogs,"Animation, Action, Comedy",7.8,"8,420",24 min,(2016– ),"Mamoru Miyano,Yûto Uemura,Yoshimasa Hosoya,Kaiji Tang",TV-14,,8420,0,
The Cat Returns,"Animation, Adventure, Comedy",7.1,"61,059",75 min,-2002,,G,70,61059,0,
Akame ga Kill!,"Animation, Action, Adventure",7.8,"27,614",24 min,-2014,"Sôma Saitô,Corey Hartzog,Sora Amamiya,Molly Searcy",TV-MA,,27614,0,
Your Lie in April,"Animation, Comedy, Drama",8.6,"34,798",23 min,(2014–2018),"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka",TV-PG,,34798,0,
Classroom of the Elite,"Animation, Drama, Thriller",7.7,"10,756",24 min,(2017– ),"Justin Briner,Felecia Angelle,Brandon McInnis,Sarah Wiedenheft",TV-14,,10756,0,
Devilman: Crybaby,"Animation, Action, Drama",7.6,"25,578",25 min,-2018,"Kôki Uchiyama,Ayumu Murase,Griffin Burns,Kyle McCarley",TV-MA,,25578,0,
Violet Evergarden,"Animation, Drama, Fantasy",8.4,"26,871",24 min,-2018,"Yui Ishikawa,Erika Harlacher,Raissa Bueno,Aya Endô",TV-14,,26871,0,
Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama",8.1,"60,315",87 min,-1997,,TV-MA,,60315,0,
My Dress-Up Darling,"Animation, Comedy, Romance",8,"11,835",24 min,(2022– ),"Hina Suguta,Shoya Ishige,AmaLee,Paul Dateh",TV-14,,11835,0,
The Rescuers Down Under,"Animation, Adventure, Comedy",6.8,"45,662",77 min,-1990,,G,70,45662,0,
Dragon Ball Z Kai,"Animation, Action, Adventure",8.3,"23,873",24 min,(2009–2015),"Masako Nozawa,Jôji Yanami,Sean Schemmel,Doc Morgan",TV-14,,23873,0,
Mashle: Magic and Muscles,"Animation, Action, Adventure",7.5,"3,136",23 min,(2023– ),"Chiaki Kobayashi,Reina Ueda,Katsuyuki Konishi,Chô",TV-14,,3136,0,
Inside Out 2,"Animation, Adventure, Comedy",,,,-2024,,,,,0,
